prey_code,pred_code,weight
F1,F10,0.001013791
F100,F10,0.000810505
F121,F10,0.000808952
F140,F10,0.000817041
F140,F10,3.97E-04
F140,F10,0.000391364
F140,F10,0.000397479
F140,F10,0.000397479
F178,F10,0.00019874
F19,F10,0.001015781
F1,F10,2.65E-04
F19,F10,0.00019874
F19,F10,0.00019874
F1,F10,2.65E-04
F47,F10,0.001610158
F47,F10,0.000816107
F6,F10,0.000419562
F60,F10,0.000419562
F60,F10,0.000397479
F67,F10,0.000264986
F67,F10,0.000264986
F67,F10,0.000264633
F6,F10,0.000419562
F73,F10,0.00081889
F73,F10,8.17E-04
F86,F10,0.00071986
F86,F10,0.00082367
F86,F10,0.000827383
F1,F105,0.000307521
F113,F105,3.44E-04
F115,F105,0.000656438
F121,F105,0.000341218
F156,F105,3.28E-04
F173,F105,0.000320527
F206,F105,0.000325262
F56,F105,1.64E-04
F56,F105,0.000162758
F63,F105,0.000344333
F67,F105,0.000114877
F67,F105,0.000114877
F67,F105,0.000114724
F73,F105,0.000328962
F73,F105,1.64E-04
F73,F105,1.64E-04
F86,F105,0.000324969
F100,F105,0.000328219
F10,F105,0.000725644
F115,F105,0.000725644
F123,F105,0.000707945
F140,F105,0.000716083
F140,F105,0.000724468
F156,F105,0.00014164
F156,F105,0.000141589
F156,F105,1.42E-04
F156,F105,0.000139595
F156,F105,1.41E-04
F156,F105,0.000867233
F156,F105,1.42E-04
F156,F105,1.41E-04
F156,F105,0.00014138
F156,F105,0.000141244
F173,F105,0.000139861
F173,F105,0.000141589
F173,F105,0.000141589
F173,F105,0.000846907
F173,F105,0.000141589
F178,F105,8.66685E-05
F178,F105,8.84932E-05
F178,F105,8.58021E-05
F178,F105,8.84932E-05
F178,F105,8.84932E-05
F178,F105,8.84932E-05
F178,F105,8.30922E-05
F178,F105,8.84932E-05
F49,F105,0.000707945
F73,F105,8.84932E-05
F73,F105,7.09547E-05
F73,F105,7.13038E-05
F73,F105,8.90871E-05
F73,F105,7.08E-05
F8,F105,0.000353595
F73,F105,7.07945E-05
F73,F105,8.90361E-05
F73,F105,7.07E-05
F73,F105,8.81E-05
F8,F105,0.000353973
F100,F105,0.000722034
F156,F105,0.000515776
F156,F105,0.000515589
F156,F105,5.16E-04
F156,F105,0.000508327
F156,F105,5.15E-04
F156,F105,0.000171863
F156,F105,1.72E-04
F156,F105,1.72E-04
F156,F105,0.000171609
F156,F105,0.000171444
F49,F105,4.25E-04
F49,F105,4.24E-04
F49,F105,0.000424603
F49,F105,0.000424603
F56,F105,8.37E-04
F56,F105,0.000832185
F73,F105,0.001651592
F73,F105,0.001639803
F49,F105,0.008248493
F10,F105,0.000414247
F121,F105,0.000396474
F123,F105,0.000400438
F128,F105,0.000331397
F128,F105,0.000331397
F11,F105,0.000400438
F128,F105,0.000124274
F140,F105,0.000380013
F156,F105,0.000124319
F156,F105,0.000124274
F156,F105,1.24E-04
F156,F105,0.000122524
F156,F105,1.24E-04
F156,F105,0.000124274
F156,F105,1.24E-04
F156,F105,1.24E-04
F156,F105,0.000124091
F156,F105,0.000495885
F178,F105,1.93315E-05
F178,F105,1.87E-05
F49,F105,4.00E-04
F49,F105,0.000400438
F73,F105,4.14247E-05
F73,F105,0.000442863
F73,F105,4.17227E-05
F73,F105,4.17027E-05
F73,F105,4.14E-05
F8,F105,0.000193109
F73,F105,4.14247E-05
F73,F105,4.16788E-05
F73,F105,4.41E-04
F73,F105,4.12E-05
F86,F105,6.83575E-05
F86,F105,6.08292E-05
F86,F105,6.27646E-05
F86,F105,0.000473288
F8,F105,0.000193315
F86,F105,6.82017E-05
F86,F105,0.000069915
F100,F105,0.000398349
F203,F105,0.001926055
F203,F105,0.001916717
F203,F105,0.001967421
F8,F105,0.002897594
F86,F105,0.00096498
F86,F105,0.000858705
F86,F105,0.000864932
F86,F105,0.000982537
F8,F105,0.002900685
F86,F105,0.000962781
F86,F105,0.000963468
F53,F105,0.000557589
F56,F105,0.000974291
F56,F105,9.78E-04
F56,F105,0.000972064
F6,F105,0.000304932
F60,F105,0.000762329
F60,F105,0.000762329
F8,F105,0.000761516
F8,F105,0.000762329
F49,F105,0.001686082
F100,F113,0.000242904
F53,F113,0.001140643
F100,F113,0.000239521
F100,F113,0.000224219
F100,F113,0.000224219
F100,F113,0.000223126
F8,F114,0.005025
F8,F114,0.005
F67,F121,0.000650959
F105,F123,0.006712329
F73,F123,0.00672752
F156,F123,0.001233324
F156,F123,0.001232877
F156,F123,1.23E-03
F156,F123,0.001215512
F156,F123,1.23E-03
F1,F126,1.36E-05
F10,F126,1.45E-05
F100,F126,1.45479E-05
F100,F126,1.44E-05
F100,F126,1.43E-05
F100,F126,1.44E-05
F105,F126,1.45E-05
F115,F126,1.45479E-05
F115,F126,1.45E-05
F120,F126,1.45479E-05
F121,F126,1.45E-05
F121,F126,1.44E-05
F123,F126,1.45479E-05
F123,F126,1.45479E-05
F128,F126,1.45479E-05
F128,F126,1.45479E-05
F11,F126,1.45479E-05
F131,F126,1.45479E-05
F131,F126,1.37245E-05
F139,F126,1.45479E-05
F14,F126,1.45479E-05
F140,F126,1.45E-05
F140,F126,1.45479E-05
F140,F126,1.45E-05
F140,F126,1.47E-05
F140,F126,1.45E-05
F14,F126,1.45479E-05
F140,F126,1.45E-05
F140,F126,1.43E-05
F140,F126,1.45E-05
F140,F126,1.45E-05
F154,F126,1.41617E-05
F156,F126,1.45479E-05
F156,F126,1.45479E-05
F156,F126,1.45E-05
F166,F126,1.38552E-05
F166,F126,1.45479E-05
F166,F126,1.41931E-05
F166,F126,1.45479E-05
F173,F126,1.45479E-05
F173,F126,1.45479E-05
F178,F126,1.45479E-05
F178,F126,1.41E-05
F178,F126,1.45479E-05
F178,F126,1.45479E-05
F178,F126,1.45479E-05
F178,F126,0.00001366
F19,F126,1.45479E-05
F178,F126,1.45479E-05
F1,F126,1.45E-05
F203,F126,1.46835E-05
F206,F126,1.45E-05
F206,F126,1.44169E-05
F19,F126,1.45479E-05
F22,F126,1.45479E-05
F24,F126,1.45479E-05
F24,F126,1.45E-05
F1,F126,1.45E-05
F4,F126,1.45479E-05
F42,F126,1.45479E-05
F42,F126,1.44541E-05
F42,F126,1.45479E-05
F42,F126,1.45479E-05
F46,F126,1.45479E-05
F47,F126,1.45E-05
F49,F126,1.45E-05
F4,F126,1.45479E-05
F49,F126,1.45E-05
F49,F126,1.45E-05
F49,F126,1.45E-05
F53,F126,1.43E-05
F59,F126,1.43E-05
F6,F126,1.45479E-05
F60,F126,1.45479E-05
F64,F126,1.44E-05
F64,F126,1.45E-05
F6,F126,1.45479E-05
F70,F126,1.45479E-05
F70,F126,1.45479E-05
F72,F126,1.45E-05
F73,F126,1.44996E-05
F73,F126,1.46E-05
F73,F126,1.46526E-05
F73,F126,1.46456E-05
F73,F126,1.45E-05
F8,F126,1.45E-05
F84,F126,1.45E-05
F84,F126,1.45479E-05
F86,F126,1.44E-05
F86,F126,1.28176E-05
F86,F126,1.32254E-05
F86,F126,1.47E-05
F8,F126,1.45E-05
F86,F126,1.43711E-05
F86,F126,1.47321E-05
F100,F126,1.45E-05
F100,F126,1.43E-05
F100,F126,1.45479E-05
F100,F126,1.45479E-05
F206,F127,0.001959176
F73,F128,0.005738986
F49,F14,0.037524384
F49,F140,0.001710027
F49,F14,0.015662466
F60,F14,0.007831233
F60,F14,0.007831233
F8,F154,0.001852271
F8,F154,0.001854247
F49,F154,0.00144
F14,F14,0.001507304
F14,F14,0.001507972
F24,F14,0.000342414
F24,F14,0.00033749
F24,F14,3.40E-04
F24,F14,0.000340274
F24,F14,0.000340274
F24,F14,0.000340274
F24,F14,0.000333973
F24,F14,0.000333685
F24,F14,0.000334504
F8,F156,0.000241961
F1,F14,0.004569069
F120,F14,0.004876603
F49,F14,0.004871207
F60,F14,0.004876603
F60,F14,0.004849808
F10,F170,0.001169205
F121,F170,0.00069102
F49,F170,1.17E-03
F49,F170,1.51E-04
F49,F170,0.001685341
F53,F170,0.000116868
F60,F170,2.08855E-05
F60,F170,0.000179326
F8,F170,0.004704972
F105,F170,0.000401352
F105,F170,4.25E-04
F105,F170,0.000404932
F105,F170,4.25E-04
F105,F170,0.000403524
F105,F170,0.000424618
F105,F170,0.000403638
F105,F170,4.25E-04
F120,F170,0.000992082
F170,F170,0.00080266
F170,F170,0.000161134
F170,F170,1.61E-04
F178,F170,1.98291E-05
F178,F170,2.02466E-05
F178,F170,1.96E-05
F178,F170,0.000141726
F178,F170,1.42E-04
F178,F170,1.41E-04
F178,F170,2.03E-05
F178,F170,2.04511E-05
F178,F170,2.02466E-05
F178,F170,2.02466E-05
F49,F170,3.44E-04
F49,F170,3.24E-04
F49,F170,3.44E-04
F49,F170,0.000323945
F73,F170,2.02E-05
F73,F170,2.03E-05
F73,F170,2.03922E-05
F73,F170,2.03825E-05
F73,F170,2.02E-05
F73,F170,2.02466E-05
F73,F170,2.04E-05
F73,F170,2.02E-05
F73,F170,2.01E-05
F84,F170,0.003279945
F84,F170,0.00732926
F100,F170,0.000177534
F100,F170,0.000175729
F100,F170,0.000174803
F100,F170,0.000178247
F100,F170,0.000176114
F14,F170,0.000473425
F140,F170,0.001893699
F140,F170,0.001915465
F14,F170,0.000473425
F14,F170,0.000471852
F14,F170,0.000472061
F24,F170,1.89E-03
F24,F170,0.001893699
F49,F170,0.002840548
F49,F170,9.46E-04
F49,F170,0.001893699
F49,F170,0.001893699
F59,F170,0.000933879
F60,F170,0.000946849
F8,F170,0.002837521
F84,F170,0.001893699
F8,F170,0.000946849
F100,F170,0.000176651
F100,F170,0.002030992
F100,F170,0.000175062
F100,F170,0.000177534
F100,F170,0.000177534
F100,F170,0.000176669
F1,F173,0.0005224
F1,F173,0.000557562
F1,F173,5.58E-04
F49,F173,0.001672685
F53,F173,0.001635271
F140,F173,0.001701994
F140,F173,0.001610426
F1,F178,1.90E-04
F1,F178,2.03E-04
F1,F178,2.03E-04
F53,F178,0.000565898
F140,F178,0.001758481
F42,F178,0.000459616
F42,F178,0.000456651
F42,F178,0.000459616
F42,F178,0.000459616
F6,F178,0.000900082
F67,F178,0.003619479
F6,F178,0.000900082
F73,F178,0.000210658
F73,F178,0.000211134
F73,F178,0.000212173
F73,F178,0.000212071
F73,F178,2.11E-04
F73,F178,0.000210658
F73,F178,0.00021195
F73,F178,2.10E-04
F73,F178,0.000209627
F86,F178,0.001552302
F1,F178,0.000439359
F10,F178,0.001385479
F115,F178,0.001385479
F115,F178,0.001385479
F156,F178,0.00014926
F156,F178,0.000149205
F156,F178,1.49E-04
F156,F178,0.000147104
F156,F178,1.49E-04
F156,F178,0.000149205
F156,F178,1.49E-04
F156,F178,1.49E-04
F156,F178,0.000148985
F156,F178,0.000148842
F1,F178,0.000468932
F206,F178,0.001330752
F1,F178,4.69E-04
F46,F178,0.000703397
F47,F178,0.000702593
F115,F178,0.001751589
F156,F178,0.000346849
F156,F178,3.47E-04
F156,F178,3.46E-04
F156,F178,0.000346338
F156,F178,0.000346004
F10,F178,0.000483534
F115,F178,0.000470466
F121,F178,0.000470466
F123,F178,0.000235233
F123,F178,0.000235719
F156,F178,3.92197E-05
F156,F178,3.92055E-05
F156,F178,3.92E-05
F156,F178,3.86533E-05
F156,F178,3.92E-05
F156,F178,3.92055E-05
F156,F178,3.92E-05
F156,F178,3.91E-05
F156,F178,3.91E-05
F156,F178,3.91E-05
F59,F178,0.000464021
F55,F178,3.65E-04
F56,F178,1.80E-04
F56,F178,0.000178436
F1,F178,4.98E-05
F105,F178,2.11E-05
F105,F178,2.13E-05
F105,F178,2.13E-05
F105,F178,2.13E-05
F105,F178,2.12E-05
F105,F178,2.12E-05
F105,F178,2.12E-05
F105,F178,1.59E-04
F115,F178,0.000159452
F121,F178,0.000157873
F123,F178,0.000159452
F123,F178,0.000297644
F123,F178,0.000159782
F134,F178,0.000159317
F140,F178,0.000180712
F140,F178,0.000172037
F140,F178,0.00018003
F140,F178,1.70E-04
F140,F178,2.09332E-05
F140,F178,2.13E-05
F140,F178,2.12603E-05
F154,F178,0.000155219
F156,F178,0.000042536
F156,F178,4.25205E-05
F156,F178,4.26E-05
F156,F178,4.19217E-05
F156,F178,2.12E-04
F156,F178,0.000180712
F156,F178,1.81E-04
F156,F178,1.06E-05
F156,F178,1.06E-05
F156,F178,1.06E-05
F178,F178,0.000154603
F178,F178,0.000139739
F1,F178,5.32E-05
F203,F178,5.31507E-05
F203,F178,0.000211572
F203,F178,5.36459E-05
F1,F178,5.32E-05
F49,F178,1.59E-04
F49,F178,1.59E-04
F60,F178,0.000159452
F60,F178,0.000148822
F73,F178,0.000159813
F73,F178,1.49E-04
F8,F178,7.43317E-05
F86,F178,3.16E-05
F86,F178,2.80973E-05
F86,F178,2.89913E-05
F86,F178,1.82E-04
F8,F178,0.000074411
F86,F178,3.15027E-05
F86,F178,0.00016147
F100,F178,0.000148045
F100,F178,0.000157231
F100,F178,0.000159452
F178,F178,0.001201644
F19,F178,0.001201644
F19,F178,0.001201644
F19,F178,0.001201644
F178,F178,0.002147068
F19,F178,0.002147068
F19,F178,0.002147068
F19,F178,0.002147068
F178,F178,0.003827397
F19,F178,0.003827397
F19,F178,0.003827397
F19,F178,0.003827397
F178,F178,0.000880822
F19,F178,0.000880822
F19,F178,0.000880822
F19,F178,0.000880822
F63,F178,0.003558576
F73,F178,0.003561644
F1,F178,0.001087617
F115,F178,0.000879781
F140,F178,0.000878355
F140,F178,0.000879781
F156,F178,0.000110012
F156,F178,0.000109973
F156,F178,1.10E-04
F156,F178,0.000108424
F156,F178,1.10E-04
F156,F178,0.000232164
F156,F178,2.32E-04
F156,F178,2.32E-04
F156,F178,0.000231822
F156,F178,0.000231599
F166,F178,0.000858323
F19,F178,0.000879781
F1,F178,2.93E-04
F1,F178,0.001160822
F49,F178,0.000879781
F73,F178,9.77534E-05
F73,F178,9.79747E-05
F73,F178,9.84567E-05
F73,F178,9.84095E-05
F73,F178,9.53E-04
F8,F178,0.000439422
F73,F178,9.77534E-05
F73,F178,9.83531E-05
F73,F178,9.76E-05
F73,F178,9.73E-05
F8,F178,0.00043989
F1,F178,0.000450962
F10,F178,0.000471288
F100,F178,0.000477465
F115,F178,0.000100274
F115,F178,0.000100274
F115,F178,0.000100274
F115,F178,0.000100274
F115,F178,1.00E-04
F140,F178,0.000470383
F140,F178,0.000481315
F140,F178,0.000476705
F140,F178,0.000590657
F140,F178,0.000118478
F140,F178,0.000591616
F140,F178,0.000120329
F156,F178,5.01552E-05
F156,F178,0.000531452
F156,F178,5.02E-05
F156,F178,4.94308E-05
F156,F178,5.21E-04
F156,F178,0.000050137
F156,F178,5.01E-05
F156,F178,5.00E-05
F156,F178,5.01E-05
F156,F178,5.00E-05
F178,F178,2.94619E-05
F178,F178,3.00822E-05
F178,F178,2.91674E-05
F178,F178,3.00822E-05
F178,F178,3.00E-05
F178,F178,3.01E-05
F178,F178,3.00E-05
F178,F178,3.00822E-05
F178,F178,3.00822E-05
F178,F178,3.00822E-05
F178,F178,2.82462E-05
F178,F178,3.01E-05
F178,F178,3.01E-05
F178,F178,3.03861E-05
F178,F178,3.00822E-05
F178,F178,3.00822E-05
F203,F178,0.000478982
F24,F178,4.81E-04
F73,F178,4.71E-04
F8,F178,0.000240401
F86,F178,0.000168778
F86,F178,0.00015019
F86,F178,0.000154969
F86,F178,1.72E-04
F8,F178,0.000240658
F86,F178,0.000168393
F86,F178,7.10803E-05
F1,F199,0.000446239
F105,F199,4.76E-04
F123,F199,0.000476274
F14,F199,0.000116822
F14,F199,0.000116822
F156,F199,4.49478E-05
F156,F199,4.49315E-05
F156,F199,4.50E-05
F156,F199,4.42987E-05
F14,F199,0.000116434
F156,F199,4.49E-05
F156,F199,4.49315E-05
F156,F199,4.49E-05
F156,F199,4.48E-05
F156,F199,4.49E-05
F156,F199,4.48E-05
F14,F199,0.000116485
F199,F199,0.000476274
F203,F199,0.000161753
F203,F199,0.000160969
F203,F199,0.00016326
F206,F199,0.000476094
F24,F199,0.000217028
F24,F199,0.000213907
F24,F199,2.16E-04
F24,F199,0.000530192
F24,F199,5.39E-05
F24,F199,5.39178E-05
F24,F199,5.39178E-05
F24,F199,5.38714E-05
F49,F199,5.93E-04
F49,F199,1.17E-04
F49,F199,0.000593096
F49,F199,1.17E-04
F56,F199,2.42E-04
