"strain","strain_norm","evcent_norm","pr_norm","closeness_norm","betweenness_norm","outd_norm","alld_norm"
"F1",0.0267518719281817,0.00776647772877254,0,0.0060790319819404,0.077552285284742,0,0.144562625270619,0.0485104695561347
"F10",0.0324438435032953,0.00941894416512526,6.93889390390723e-17,0.0203721768534452,0.0705230201851873,0.352643671658898,0.100565304536083,0.0928026374117359
"F104",0.00346095197088974,0.00100476731028121,0,0.0060790319819404,0.071657652120662,0,0.0754239784020619,0.0253098102032007
"F122",0.0055389198022446,0.00160803316497164,0,0.00681227056696785,0.0749074902175522,0.0304394664010226,0.106850636069588,0.0379647153048011
"F147",0.00361849433903536,0.00105050427017792,0,0.0060790319819404,0.0712741660170559,0,0.0754239784020619,0.0253098102032007
"F150",0.00562315996146827,0.0016324893720825,0,0.0060790319819404,0.0712778875169523,0,0.0942799730025774,0.0316372627540009
"F151",0.00544875561997919,0.00158185712333324,0,0.0060790319819404,0.0708892403658239,0,0.0691386468685568,0.023200659352934
"F152",0.0090821439589188,0.002636685349564,0,0.0060790319819404,0.0740621799980833,0,0.0817093099355671,0.0274189610534674
"F153",0.00544875561997965,0.00158185712333337,0,0.0060790319819404,0.0708892403658239,0,0.0691386468685568,0.023200659352934
"F18",0.0013066731832809,0.000379347217420132,0,0.0060790319819404,0.0775170552638863,0,0.0502826522680413,0.0168732068021338
"F19",0.00785175764217026,0.00227948537669976,0,0.0060790319819404,0.0775346662723807,0,0.100565304536083,0.0337464136042676
"F2",0.0189819237483252,0.00551074289068065,0,0.0060790319819404,0.0770924242114737,0,0.119421299136598,0.0400738661550678
"F20",0.00114138698565037,0.000331362105342096,0,0.0060790319819404,0.0757407885108148,0,0.0439973207345361,0.0147640559518671
"F21",0.00742883410834158,0.00215670420402997,0,0.0060790319819404,0.0757554995407697,0,0.0879946414690723,0.0295281119037342
"F3",0.0166059271897379,0.00482095473658632,0,0.0060790319819404,0.0770902474432274,0,0.113135967603093,0.0379647153048011
"F47",0.00148825534676657,0.000432063297716859,0,0.0060790319819404,0.0708745185465277,0,0.0188559946005155,0.00632745255080018
"F48",0.00175932619847532,0.000510759313396329,0,0.0060790319819404,0.0708800385121457,0,0.0502826522680413,0.0168732068021338
"F6",0.0035804616057721,0.00103946278580455,0,0.0060790319819404,0.0716557714411144,0,0.0691386468685568,0.023200659352934
"F60",0.204312979973527,0.0593151841083668,0,0.0060790319819404,0.0775500824702988,0,0.138277293737114,0.046401318705868
"F61",0.124021500871154,0.0360053392521692,0,0.0060790319819404,0.077545677216807,0,0.125706630670103,0.0421830170053345
"F67",0.00048305118369612,0.000140237149389199,0,0.0060790319819404,0.0766014309929112,0,0.0439973207345361,0.0147640559518671
"F68",0.000992885150241232,0.000288249750420424,0,0.0060790319819404,0.0716426094478822,0,0.0251413261340206,0.0084366034010669
"F69",0.000992885150241232,0.000288249750420424,0,0.0060790319819404,0.0716426094478822,0,0.0251413261340206,0.0084366034010669
"F7",0.00261045140334743,0.000757853982725721,0,0.0060790319819404,0.0712667241829637,0,0.0628533153350516,0.0210915085026672
"F76",0.0423053185458851,0.0122818812521721,0,0.0060790319819404,0.0757786284229188,0,0.150847956804124,0.0506196204064014
"F79",0.0392712802202679,0.0114010535049622,0,0.0060790319819404,0.0740842863118156,0,0.144562625270619,0.0485104695561347
"F87",0.00848925453231416,0.00246456047771535,0,0.0060790319819404,0.0716614137759348,0,0.0879946414690723,0.0295281119037342
"F89",0.00967990641114947,0.00281022493530997,0,0.0060790319819404,0.0712778875169523,0,0.0942799730025774,0.0316372627540009
"F91",0.0093808968818556,0.0027234178940612,0,0.0060790319819404,0.0732494889987214,0,0.100565304536083,0.0337464136042676
