pred_code,prey_code
8,1
8,2
9,1
9,8
9,9
9,12
9,13
9,14
9,15
9,19
10,9
10,10
10,11
10,13
10,15
10,17
11,1
11,7
11,12
12,1
12,5
13,1
13,3
14,1
14,2
14,5
14,7
14,14
15,2
16,1
16,3
16,4
16,13
16,14
16,15
16,21
17,10
17,13
17,14
17,15
18,8
18,14
18,18
18,19
18,21
18,22
18,31
19,1
20,9
20,10
20,11
20,12
20,13
20,14
21,1
21,3
22,9
22,10
22,11
22,14
22,15
22,21
23,13
24,10
24,13
24,15
24,24
25,9
25,11
25,12
25,13
25,14
25,21
26,3
26,4
26,9
26,10
26,11
26,12
26,13
26,14
26,15
26,16
26,34
27,3
27,4
27,9
27,10
27,11
27,12
27,13
27,14
27,15
27,16
27,17
27,20
27,26
27,34
28,3
28,4
29,9
29,10
29,13
29,14
29,15
29,21
29,35
30,3
31,1
31,3
31,4
31,5
31,7
31,9
31,11
31,12
31,14
31,19
31,31
32,1
32,9
32,10
32,14
32,16
32,20
32,32
32,37
33,3
33,4
33,7
33,11
33,14
33,21
34,10
34,11
34,13
34,14
34,15
35,1
35,21
36,1
36,9
36,10
36,11
36,12
36,14
36,18
36,19
36,21
37,1
37,37
38,20
38,27
38,31
38,37
38,38
38,44
39,9
39,13
39,14
39,15
39,16
39,20
39,21
39,22
39,23
39,24
39,25
39,26
39,27
39,31
39,32
39,33
39,34
39,38
39,44
40,4
41,26
41,27
41,31
41,33
42,3
42,4
42,5
42,9
42,10
42,13
42,14
42,15
42,16
42,20
42,33
42,35
42,37
43,4
43,12
44,11
44,12
44,20
44,21
44,26
44,27
44,28
44,31
44,33
44,34
44,38
44,44
45,4
45,9
45,10
45,14
45,22
45,31
46,9
46,13
46,20
46,21
46,22
46,31
46,32
46,34
46,35
46,37
46,38
47,3
47,4
47,9
47,10
47,14
47,16
47,20
47,21
47,31
47,34
47,38
47,44
48,7
49,22
49,25
49,26
49,27
49,28
49,29
49,31
49,33
49,34
49,40
49,41
49,45
49,46
49,47
49,50
49,52
49,55
49,59
49,60
49,64
49,65
49,66
49,75
50,3
50,9
50,10
50,11
50,12
50,13
50,14
50,16
50,18
50,20
50,21
50,22
50,30
50,31
50,32
50,34
50,35
50,36
50,37
50,38
50,44
50,47
50,48
50,52
51,22
51,27
51,28
51,29
51,31
51,33
51,47
51,48
51,52
51,60
51,65
51,66
51,75
52,5
52,7
53,20
53,22
53,29
53,31
53,32
53,34
53,37
53,38
53,42
53,44
53,61
55,2
55,3
55,4
55,9
55,14
55,21
55,27
55,31
55,33
55,34
55,52
56,12
56,14
56,16
56,20
56,22
56,31
56,32
56,33
56,37
56,38
56,44
57,9
57,10
57,13
57,14
57,16
57,20
57,21
57,22
57,31
57,32
57,34
57,61
57,75
59,11
59,12
59,14
59,18
59,21
59,24
59,27
59,31
59,34
59,38
59,44
59,47
59,52
60,35
60,37
61,4
61,5
61,9
61,14
61,20
61,21
61,32
61,34
61,35
61,37
63,27
63,29
63,31
63,33
63,34
63,37
63,52
64,9
64,14
64,16
64,19
64,20
64,31
64,32
64,33
64,35
64,38
65,3
65,34
66,1
66,3
66,7
66,21
67,1
67,9
67,10
67,11
67,12
67,13
67,14
67,19
67,20
67,21
67,22
67,24
67,31
67,32
67,34
67,35
67,37
67,38
67,44
67,45
67,46
67,47
67,52
67,61
67,65
68,11
68,12
69,31
69,33
69,34
69,37
69,38
69,43
69,47
69,48
69,52
69,71
70,20
70,21
70,31
70,32
70,35
70,37
70,42
70,61
71,3
71,4
71,5
71,7
72,3
72,4
73,3
73,4
73,5
73,7
74,26
74,27
74,31
74,47
74,52
74,71
74,72
74,73
74,79
74,82
74,87
75,20
75,26
75,27
75,28
75,29
75,31
75,32
75,33
75,34
75,37
75,38
75,44
75,48
75,60
75,66
75,72
77,9
77,12
77,13
77,14
77,15
77,16
77,35
79,11
79,12
80,20
80,31
80,32
80,34
80,37
80,47
80,48
80,52
80,55
80,57
80,61
80,65
80,66
80,68
80,71
80,72
80,73
80,87
80,89
82,4
82,5
82,7
83,1
83,3
83,4
83,31
83,33
85,3
85,4
85,5
85,7
85,14
86,57
86,65
86,71
86,73
86,82
86,83
86,87
86,88
86,89
87,5
87,7
88,5
89,3
89,4
89,5
89,7
91,37
91,55
91,60
91,70
91,80
91,82
91,87
91,91
92,7
93,5
93,7
94,5
95,5
95,7
