"","X1","X2","X3","X4"
"157","Acinonyx_jubatus",61,52,69
"136","Aepyceros_melampus",99,58,58
"134","Connochaetes_taurinus",137,79,76
"137","Nanger_granti",149.5,87.5,152.5
"138","Eudorcas_thomsonii",149.5,87.5,152.5
"141","Madoqua_kirkii",99,58,58
"142","Ourebia_ourebi",99,58,58
"148","Phacochoerus_africanus",20,17,20
"140","Redunca_redunca",121.5,66.5,64.5
"150","Canis_aureus",92.5,64.5,159.5
"149","Equus_quagga",8,9,11
"151","Canis_mesomelas",92.5,64.5,159.5
"155","Caracal_caracal",141.5,74.5,138.5
"130","Pedetes_capensis",9.5,7.5,12.5
"160","Procavia_capensis",5.5,25.5,80.5
"131","Rhabdomys_pumilio",9.5,7.5,12.5
"158","Crocuta_crocuta",30,32,42
"133","Alcelaphus_buselaphus",137,79,76
"135","Damaliscus_korrigum",137,79,76
"139","Kobus_ellipsiprymnus",121.5,66.5,64.5
"156","Leptailurus_serval",141.5,74.5,138.5
"152","Lycaon_pictus",44,60,158
"145","Tragelaphus_scriptus",123.5,70.5,70.5
"153","Panthera_leo",147.5,81.5,154.5
"146","Giraffa_camelopardalis",57,47,51
"143","Syncerus_caffer",101,56,60
"144","Taurotragus_oryx",123.5,70.5,70.5
"154","Panthera_pardus",147.5,81.5,154.5
"159","Heterohyrax_brucei",5.5,25.5,80.5
"132","Papio_anubis",2,5,9
"48","acacia_senegal",118.5,112.5,88.5
"50","vachellia_tortilis",132,122,150
"104","andropogon_greenwayi",139.5,119.5,132.5
"75","aristida_spp.",13,12,7
"116","brachiaria_semiundulata",114,117,67
"93","chloris_gayana",155,157,144
"63","combretum_molle",11,3,2.5
"59","croton_macrostachyus",86.5,85.5,88.5
"91","cynodon_dactylon",159.5,159.5,156.5
"23","grewia_bicolor",82,110,111
"81","harpachne_schimperi",65.5,96.5,48.5
"26","hibiscus_spp.",129.5,107.5,111
"102","hyparrhenia_filipendula",157.5,130.5,144
"103","hyparrhenia_rufa",157.5,130.5,144
"56","indigofera_hochstetteri",118.5,105.5,88.5
"110","panicum_maximum",126.5,145.5,111
"112","pennisetum_mezianum",134.5,126.5,132.5
"29","sida_spp.",96.5,103.5,73.5
"16","solanum_incanum",70,94,88.5
"83","sporobolus_festivus",107,152,111
"85","sporobolus_ioclados",107,152,111
"87","sporobolus_pyramidalis",107,152,111
"97","themeda_triandra",151.5,124.5,147.5
"99","bothriochloa_insculpta",115,114,68
