Unique_link_identifier,Tip_label,Taxonomy,Metabolic_category,Feeding_type_-_consumer,Environment,Feeding_Mode,Trophic_Level,d15N,Mean_mass_(g),Mobility,Trophic_Uniqueness,Trophic_Flexibility,
1,Actinocyclus_actinochilus,Actinocyclus_actinochilus,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.06E-11,1,,,TRUE
2,Actinocyclus_spiritus,Actinocyclus_spiritus,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.64E-11,1,,,TRUE
3,Adenocystis_utricularis,Adenocystis_utricularis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.01E-12,1,,,TRUE
4,Azpeitia_tabularis,Azpeitia_tabularis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.14E-11,1,,,TRUE
5,Banquisia_belgicae,Banquisia_belgicae,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.01E-12,1,,,TRUE
6,Chaetoceros_bulbosum,Chaetoceros_bulbosum,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,6.04E-13,1,,,TRUE
7,Chaetoceros_concavicornis,Chaetoceros_concavicornis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.01E-12,1,,,TRUE
8,,Chaetoceros_criophilum,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.01E-12,1,,,Error
9,,Chaetoceros_dichaeta,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,6.04E-13,1,,,Error
10,Chaetoceros_flexuosum,Chaetoceros_flexuosum,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.67E-12,1,,,TRUE
11,,Chaetoceros_neglectum,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,9.11E-14,1,,,Error
12,Chaetoceros_pelagicus,Chaetoceros_pelagicus,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,6.04E-13,1,,,TRUE
13,Chaetoceros_socialis,Chaetoceros_socialis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.71E-13,1,,,TRUE
14,Corethron_criophilum,Corethron_criophilum,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.01E-12,1,,,TRUE
15,,Coscinodiscus_oculoides,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.59E-09,1,,,Error
16,,Cylindrotheca_closterium,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.89E-11,1,,,Error
17,,Eucampica_antarctica,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,7.29E-12,1,,,Error
18,Fragilariopsis_curta,Fragilariopsis_curta,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,9.11E-14,1,,,TRUE
19,Fragilariopsis_cylindrus,Fragilariopsis_cylindrus,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.53E-14,1,,,TRUE
20,Fragilariopsis_kerguelensis,Fragilariopsis_kerguelensis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,3.29E-13,1,,,TRUE
21,Fragilariopsis_linearis,Fragilariopsis_linearis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.53E-13,1,,,TRUE
22,Fragilariopsis_pseudonana,Fragilariopsis_nana,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.53E-13,1,,,FALSE
23,Fragilariopsis_obliquecostata,Fragilariopsis_obliquecostata,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.53E-13,1,,,TRUE
24,Fragilariopsis_pseudonana,Fragilariopsis_pseudonana,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,9.11E-14,1,,,TRUE
25,Fragilariopsis_rhombica,Fragilariopsis_rhombica,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.53E-13,1,,,TRUE
26,Fragilariopsis_ritscheri,Fragilariopsis_ritscheri,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.53E-13,1,,,TRUE
27,Fragilariopsis_separanda,Fragilariopsis_separanda,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,6.04E-13,1,,,TRUE
28,Fragilariopsis_sublinearis,Fragilariopsis_sublinearis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.5E-13,1,,,TRUE
29,Fragilariopsis_vanheurckii,Fragilariopsis_vanheurckii,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,9.11E-14,1,,,TRUE
30,Manguinea_fusiformis,Manguinea_fusiformis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.97E-10,1,,,TRUE
31,Manguinea_rigida,Manguinea_rigida,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,9.1E-12,1,,,TRUE
32,Navicula_glaciei,Navicula_glaciei,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,2.26E-14,1,,,TRUE
33,Navicula_schefterae,Navicula_schefterae,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,2.26E-14,1,,,TRUE
34,,Nitzschia_kerguelensis,Plant,Primary_producer,pelagic,Primary_producer,1,-3.44,5.73E-12,1,,,Error
35,Nitzschia_lecointei,Nitzschia_lecointei,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,4.63E-11,1,,,TRUE
36,,Nitzschia_neglecta,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,9.11E-14,1,,,Error
37,,Odontella_weissfloggii,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,5.73E-12,1,,,Error
38,Porosira_glacialis,Porosira_glacialis,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,2.94E-11,1,,,TRUE
39,Porosira_pseudodenticulata,Porosira_pseudodenticulata,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,9.81E-11,1,,,TRUE
40,Proboscia_alata,Proboscia_alata,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.51E-12,1,,,TRUE
41,,Proboscia_inermi,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,9.94E-13,1,,,Error
42,Proboscia_truncata,Proboscia_truncata,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.21E-11,1,,,TRUE
43,,Pseudo-Nitzschia_heimii,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,1.77E-10,1,,,Error
44,,Pseudo-Nitzschia_liniola,Plant,Primary_producer,pelagic,Primary_producer,1,-0.23,8.13E-10,1,,,Error
