"Food_Web","Measure","Species","Distinctiveness"
"Serengeti_Baskerville","PE","abutilon_spp.",14.833333
"Serengeti_Baskerville","PE","abutilon_to_sida",14.833333
"Serengeti_Baskerville","PE","acacia",12.666666
"Serengeti_Baskerville","PE","acacia_robusta",12
"Serengeti_Baskerville","PE","acacia_senegal",12
"Serengeti_Baskerville","PE","acacia_to_vachellia",12.666666
"Serengeti_Baskerville","PE","acacieae_to_ingeae",12.666667
"Serengeti_Baskerville","PE","acalypha_fruticosa",41.666668
"Serengeti_Baskerville","PE","acalypha_to_croton_to_euphorbia",29.666668
"Serengeti_Baskerville","PE","acanthaceae_to_lamiaceae",13
"Serengeti_Baskerville","PE","acantheae_to_ruellieae",20.333334
"Serengeti_Baskerville","PE","achyranthes_aspera",56.5
"Serengeti_Baskerville","PE","achyranthes_to_pupalia",56.5
"Serengeti_Baskerville","PE","Acinonyx_jubatus",17.3
"Serengeti_Baskerville","PE","Aepyceros_melampus",21.8
"Serengeti_Baskerville","PE","albizia_harveyi",37.333332
"Serengeti_Baskerville","PE","albuca_spp.",52
"Serengeti_Baskerville","PE","Alcelaphus_buselaphus",14.7
"Serengeti_Baskerville","PE","allophylus_rubifolius",25.5
"Serengeti_Baskerville","PE","aloe",52
"Serengeti_Baskerville","PE","aloe_macrosiphon",12
"Serengeti_Baskerville","PE","aloe_secundiflora",12
"Serengeti_Baskerville","PE","anacardiaceae_to_burseraceae",7
"Serengeti_Baskerville","PE","andropogon",12.825001
"Serengeti_Baskerville","PE","andropogon_greenwayi",10
"Serengeti_Baskerville","PE","andropogon_schirensis",10
"Serengeti_Baskerville","PE","andropogon_to_others",12.825001
"Serengeti_Baskerville","PE","andropogoneae_to_paniceae",12.625
"Serengeti_Baskerville","PE","aristida_spp.",99.375
"Serengeti_Baskerville","PE","aristidoideae_to_others",12.625
"Serengeti_Baskerville","PE","arundinoideae_to_chloridoideae",18.9375
"Serengeti_Baskerville","PE","asparagaceae_to_xanthorrhacae",58
"Serengeti_Baskerville","PE","asparagales_to_others",24
"Serengeti_Baskerville","PE","asterales_to_others",20
"Serengeti_Baskerville","PE","asterids",1
"Serengeti_Baskerville","PE","asterids_to_rosids",17
"Serengeti_Baskerville","PE","balanites_aegyptiacus",101
"Serengeti_Baskerville","PE","blepharis_acanthodioides",40.666668
"Serengeti_Baskerville","PE","boraginaceae_to_solanales",3
"Serengeti_Baskerville","PE","boscia_augustifolia",14.333333
"Serengeti_Baskerville","PE","boscia_to_capparis",14.333333
"Serengeti_Baskerville","PE","bothriochloa_insculpta",17.825001
"Serengeti_Baskerville","PE","bothriochloa_to_others",8.9125
"Serengeti_Baskerville","PE","brachiaria_semiundulata",18.333334
"Serengeti_Baskerville","PE","brachiaria_to_cenchrus",8.75
"Serengeti_Baskerville","PE","brachiaria_to_others",9.166666
"Serengeti_Baskerville","PE","brassicaceae_to_capparaceae",61
"Serengeti_Baskerville","PE","brassicales_to_others",7
"Serengeti_Baskerville","PE","caesalpinoideae_to_others",36
"Serengeti_Baskerville","PE","Canis_aureus",1.5
"Serengeti_Baskerville","PE","Canis_mesomelas",1.5
"Serengeti_Baskerville","PE","capparideae_to_maerueae",14.333333
"Serengeti_Baskerville","PE","capparis_tomentosa",14.333333
