"strain","strain_norm","evcent_norm","pr_norm","closeness_norm","betweenness_norm","outd_norm","alld_norm"
"F1",0.00423472074515441,0.00259184979515102,2.16840434497101e-18,0.00607903198194041,0.077552285284742,0,0.144562625270619,0.0485104695561347
"F10",0.0154983154671459,0.00948570358852394,5.55111512312578e-17,0.0203721768534452,0.0705230201851873,0.352643671658898,0.100565304536083,0.0928026374117359
"F104",0.0034029770123116,0.002082783211232,2.16840434497101e-18,0.00607903198194041,0.071657652120662,0,0.0754239784020619,0.0253098102032007
"F122",0.00230978421987275,0.00141369741179993,4.33680868994202e-19,0.00681227056696785,0.0749074902175522,0.0304394664010226,0.106850636069588,0.0379647153048011
"F147",0.00297520646086488,0.0018209673601142,2.16840434497101e-18,0.00607903198194041,0.0712741660170559,0,0.0754239784020619,0.0253098102032007
"F150",0.00145265602389841,0.000889094333380583,2.16840434497101e-18,0.00607903198194041,0.0712778875169523,0,0.0942799730025774,0.0316372627540009
"F151",0.00250250435258789,0.00153165126674321,2.16840434497101e-18,0.00607903198194041,0.0708892403658239,0,0.0691386468685568,0.023200659352934
"F152",0.0044770174701078,0.00274014687416262,2.16840434497101e-18,0.00607903198194041,0.0740621799980833,0,0.0817093099355671,0.0274189610534674
"F153",0.00250250435258787,0.00153165126674319,2.16840434497101e-18,0.00607903198194041,0.0708892403658239,0,0.0691386468685568,0.023200659352934
"F18",0.000123738518570485,7.5733837792298e-05,2.16840434497101e-18,0.00607903198194041,0.0775170552638863,0,0.0502826522680413,0.0168732068021338
"F19",0.00722989147329446,0.00442503623301827,2.16840434497101e-18,0.00607903198194041,0.0775346662723807,0,0.100565304536083,0.0337464136042676
"F2",0.00329476073428753,0.00201654972031064,2.16840434497101e-18,0.00607903198194041,0.0770924242114737,0,0.119421299136598,0.0400738661550678
"F20",8.6209646212297e-05,5.27643892766858e-05,2.16840434497101e-18,0.00607903198194041,0.0757407885108148,0,0.0439973207345361,0.0147640559518671
"F21",0.00645869746143421,0.00395302894801634,2.16840434497101e-18,0.00607903198194041,0.0757554995407697,0,0.0879946414690723,0.0295281119037342
"F3",0.0049236637571169,0.00301351557003569,2.16840434497101e-18,0.00607903198194041,0.0770902474432274,0,0.113135967603093,0.0379647153048011
"F47",6.7881966074998e-05,4.15469804159464e-05,2.16840434497101e-18,0.00607903198194041,0.0708745185465277,0,0.0188559946005155,0.00632745255080018
"F48",0.00166072940381769,0.0010164451032601,2.16840434497101e-18,0.00607903198194041,0.0708800385121457,0,0.0502826522680413,0.0168732068021338
"F6",0.00324523971452765,0.00198624050923286,2.16840434497101e-18,0.00607903198194041,0.0716557714411144,0,0.0691386468685568,0.023200659352934
"F60",0.0121143353640074,0.00741454738603984,2.16840434497101e-18,0.00607903198194041,0.0775500824702988,0,0.138277293737114,0.046401318705868
"F61",0.00848124271297965,0.0051909224978803,2.16840434497101e-18,0.00607903198194041,0.077545677216807,0,0.125706630670103,0.0421830170053345
"F67",0.000174367148419563,0.00010672095873841,2.16840434497101e-18,0.00607903198194041,0.0766014309929112,0,0.0439973207345361,0.0147640559518671
"F68",9.58448978146086e-05,5.86616199075971e-05,2.16840434497101e-18,0.00607903198194041,0.0716426094478822,0,0.0251413261340206,0.0084366034010669
"F69",9.58448978146086e-05,5.86616199075971e-05,2.16840434497101e-18,0.00607903198194041,0.0716426094478822,0,0.0251413261340206,0.0084366034010669
"F7",0.00254623470359967,0.00155841631410588,2.16840434497101e-18,0.00607903198194041,0.0712667241829637,0,0.0628533153350516,0.0210915085026672
"F76",0.00477074409422136,0.00291992148891384,2.16840434497101e-18,0.00607903198194041,0.0757786284229188,0,0.150847956804124,0.0506196204064014
"F79",0.00411564263969172,0.00251896835105495,2.16840434497101e-18,0.00607903198194041,0.0740842863118156,0,0.144562625270619,0.0485104695561347
"F87",0.00461710703642561,0.00282588832811306,2.16840434497101e-18,0.00607903198194041,0.0716614137759348,0,0.0879946414690723,0.0295281119037342
"F89",0.0015937817666667,0.000975469976426958,2.16840434497101e-18,0.00607903198194041,0.0712778875169523,0,0.0942799730025774,0.0316372627540009
"F91",0.00193757500480601,0.0011858877318044,2.16840434497101e-18,0.00607903198194041,0.0732494889987214,0,0.100565304536083,0.0337464136042676
