"variable","value"
"ACIJUB",7.457495398188033e-29
"ACIJUB",5.077000132703591e-28
"ACIJUB",0.008494392109989096
"ACIJUB",0.001951553115736837
"ACIJUB",0.00045571152047298635
"ACIJUB",0.0009997027172209021
"ACIJUB",0.00046028750042101255
"ACIJUB",0.0005528021995485052
"ACIJUB",0.000683042923833023
"ACIJUB",0.0004406305601955276
"ACIJUB",0.0006867354521454315
"ACIJUB",0.0005330344771920154
"ACIJUB",0.0005953437146173121
"ACIJUB",0.0003800807060287201
"ACIJUB",1.0
"CONTAU",0.17292170786019928
"CONTAU",0.0922402986934559
"CONTAU",0.1747617131626831
"CONTAU",0.04453516573867396
"CONTAU",0.012358434179194577
"CONTAU",0.022948913241659152
"CONTAU",0.010446432620033714
"CONTAU",0.01276580420337592
"CONTAU",0.016122360475222645
"CONTAU",0.011923036787482369
"CONTAU",0.043252303318816875
"CONTAU",0.0718790123100067
"CONTAU",0.06261482008068962
"CONTAU",0.04168681376982416
"CONTAU",0.060175338365232506
"GAZGRA",0.15513343040492344
"GAZGRA",0.07487901440067796
"GAZGRA",0.15683973045149696
"GAZGRA",0.03834708424797357
"GAZGRA",0.014875893904049512
"GAZGRA",0.10392338204325004
"GAZGRA",0.07873011522517313
"GAZGRA",0.0800978638832559
"GAZGRA",0.06783875030450942
"GAZGRA",0.06781007462469903
"GAZGRA",0.038033491178703305
"GAZGRA",0.028413621688283198
"GAZGRA",0.03180005779193178
"GAZGRA",0.039345451497858404
"GAZGRA",0.05743141794710073
"GAZTHO",0.13676058554271556
"GAZTHO",0.10666183884344449
"GAZTHO",0.18334861432683622
"GAZTHO",0.0666095069668083
"GAZTHO",0.016334146356448833
"GAZTHO",0.22735033353055192
"GAZTHO",0.2510520275771624
"GAZTHO",0.08664758257399974
"GAZTHO",0.06746498758150982
"GAZTHO",0.09304740108426483
"GAZTHO",0.07658538393558796
"GAZTHO",0.12437279419500133
"GAZTHO",0.17499047061668785
"GAZTHO",0.05701692159034592
"GAZTHO",0.07832756507946326
"MADKIR",0.03114033700784499
"MADKIR",0.01880199433837672
"MADKIR",0.1508065114496921
"MADKIR",0.041807943235968315
"MADKIR",0.012482460229128566
"MADKIR",0.4134339002804454
"MADKIR",0.7603755134608268
"MADKIR",1.0
"MADKIR",0.6494960727307927
"MADKIR",0.37378919715019465
"MADKIR",0.7693067500496645
"MADKIR",0.6500887058841361
"MADKIR",0.5703058016221693
"MADKIR",0.48960802740789083
"MADKIR",0.5191037030765735
"OUROUR",0.00032158915018137715
"OUROUR",0.0007120203587071909
"OUROUR",0.03193692356324023
"OUROUR",0.008036285465509996
"OUROUR",0.004782574715396249
"OUROUR",0.01029535959394789
"OUROUR",0.011017242261087846
"OUROUR",0.006049042611719959
"OUROUR",0.00700516677992232
"OUROUR",0.012901039155857316
"OUROUR",0.009794537825558218
"OUROUR",0.007939603931284836
"OUROUR",0.04292393135409385
"OUROUR",0.017929431133301924
"OUROUR",0.02194846824813302
"PHAAET",0.0021211190099246205
"PHAAET",0.003872961004220229
"PHAAET",0.03617977358877367
"PHAAET",0.009644125572050275
"PHAAET",0.02152274377290738
"PHAAET",0.05759723770352453
"PHAAET",0.21969662980220678
"PHAAET",0.05116801204268148
"PHAAET",0.041042365234755275
"PHAAET",0.028567545708499488
"PHAAET",0.044131204373590326
"PHAAET",0.03427987892755665
"PHAAET",0.5404847050795636
"PHAAET",0.80381309765188
"PHAAET",0.16453463845140878
"REDRED",6.5832615504240296e-6
"REDRED",1.1483193269269424e-5
"REDRED",0.030680188162215953
"REDRED",0.007257449879820476
"REDRED",0.0021271383327329807
"REDRED",0.0046121479946485446
"REDRED",0.00578891076796946
"REDRED",0.004354331063422919
"REDRED",0.003342631197765667
"REDRED",0.002152971681915956
"REDRED",0.0032826898119195686
"REDRED",0.002423572839892859
"REDRED",0.0025686974382032397
"REDRED",0.0015657782516096445
"REDRED",0.0025633546518752217
"CANAUR",8.582450473777116e-29
"CANAUR",4.78336740723128e-28
"CANAUR",0.002304812575785744
"CANAUR",0.000515065069871887
"CANAUR",0.00011827851514922625
"CANAUR",0.00025640765378260146
"CANAUR",0.00011704937220227442
"CANAUR",0.00013962289259240111
"CANAUR",0.00017157120189392473
"CANAUR",0.0001102004708661084
"CANAUR",0.00017110844965692896
"CANAUR",0.00013240328845015895
"CANAUR",0.00014748895320569434
"CANAUR",9.394375697333564e-5
"CANAUR",0.00354907853683524
"EQUBUR",0.07535170745699041
"EQUBUR",0.04222846006284175
"EQUBUR",0.09918684953190973
"EQUBUR",0.026670263512357358
"EQUBUR",0.006328511502962719
"EQUBUR",0.013023577745274071
"EQUBUR",0.006072602593604894
"EQUBUR",0.007234932579383326
"EQUBUR",0.008916302449048468
"EQUBUR",0.017339603857828772
"EQUBUR",0.026975767579561494
"EQUBUR",0.44735640317636644
"EQUBUR",1.0
"EQUBUR",0.816088205496814
